BOFEK2012,Opp-Aandeel (%) ,Bodem-nr,Eenheid,Gebruik,Laag_nr,Hor_code,Diepte_b,Diepte_o,Orgstof,Orgstof_p10,Orgstof_p90,Lutum (<2),lutum_p10,Lutum_p90,Silt (2-50),Leem (<50),Leem_p10,Leem_p90,M50,M50_p10,M50_p90,pH-KCl,pH_p10,pH_p90,CaC03,Dichtheid,Materiaal,A=0 of 1,Staring bouwsteen,Opmerking,
101,18,1050,hVc,G,1,1Ahg,0,15,35.0,25.0,50.0,40,30,60,40,80,70,100,110,90,130,4.9,4.5,5.5,0.1,0.477,110,1,B17,,
101,18,1050,hVc,G,2,1AC,15,30,50.0,30.0,70.0,60,40,70,35,95,80,100,110,90,130,5.0,4.5,5.5,0.1,0.436,110,0,O17,,
101,18,1050,hVc,G,3,1Cw,30,50,75.0,40.0,90.0,18,6,30,57,75,45,85,125,110,140,5.1,4.7,5.5,0.0,0.232,130,0,O17,,
101,18,1050,hVc,G,4,1Cu,50,120,80.0,40.0,90.0,18,6,30,57,75,45,85,125,110,140,5.1,4.7,5.5,0.0,0.226,130,0,O17,,
102,53,1070,hVz,G,1,1Ahg,0,20,35.0,25.0,50.0,25,15,50,45,70,50,90,150,130,180,5.0,4.5,5.5,0.0,0.477,110,1,B17,,
102,53,1070,hVz,G,2,1Cw,20,40,70.0,30.0,80.0,18,6,30,57,75,45,85,125,110,140,5.1,4.7,5.5,0.0,0.238,110,0,O17,,
102,53,1070,hVz,G,3,1Cu,40,80,75.0,40.0,90.0,18,6,30,57,75,45,85,125,110,140,5.1,4.7,5.5,0.0,0.232,130,0,O17,,
102,53,1070,hVz,G,4,2Cu1,80,100,20.0,10.0,50.0,8,4,12,27,35,15,50,140,130,160,5.1,4.7,5.5,0.0,0.252,410,0,O18,,
102,53,1070,hVz,G,5,2Cu2,100,120,2.0,0.5,5.0,4,2,8,12,16,10,25,160,140,180,5.2,4.7,5.5,0.0,1.537,410,0,O2,,
103,52,1100,aVz,G,1,1Apg,0,20,35.0,25.0,50.0,6,4,10,14,20,10,30,150,130,180,4.9,4.5,5.5,0.0,0.56,110,1,B16,,
103,52,1100,aVz,G,2,1Cw,20,50,75.0,40.0,85.0,18,6,30,57,75,45,85,125,110,140,5.1,4.7,5.5,0.0,0.232,130,0,O17,,
103,52,1100,aVz,G,3,1Cu,50,70,80.0,40.0,85.0,18,6,30,57,75,45,85,125,110,140,5.1,4.7,5.5,0.0,0.226,130,0,O17,,
103,52,1100,aVz,G,4,2Cu,70,120,0.5,0.2,7.0,3,2,8,9,12,8,30,160,140,180,5.1,4.7,5.5,0.0,1.655,410,0,O2,,
104,100,1111,faVzt,G,1,1Apg,0,20,35.0,25.0,50.0,8,4,15,22,30,20,40,150,130,180,4.9,4.5,5.5,0.0,0.477,110,1,B16,,
104,100,1111,faVzt,G,2,1Cw,20,50,75.0,40.0,85.0,18,6,30,57,75,45,85,125,110,140,5.1,4.7,5.5,0.0,0.232,130,0,O17,,
104,100,1111,faVzt,G,3,1Cu,50,70,80.0,40.0,85.0,18,6,30,57,75,45,85,125,110,140,5.1,4.7,5.5,0.0,0.226,130,0,O17,,
104,100,1111,faVzt,G,4,2Cu,70,90,0.5,0.2,7.0,3,2,8,9,12,8,30,160,140,180,5.1,4.7,5.5,0.0,1.655,410,0,O2,,
104,100,1111,faVzt,G,5,3Cu,90,120,0.5,0.2,4.0,8,4,12,47,55,40,70,130,120,160,5.1,4.7,5.5,0.0,1.396,410,0,O14,,
105,25,1200,kVs,G,1,1Ahg,0,8,20.0,15.0,30.0,60,40,70,30,90,70,100,110,90,130,4.9,4.5,5.5,0.0,0.641,210,1,B17,,
105,25,1200,kVs,G,2,1Cwg,8,30,10.0,5.0,30.0,60,40,70,30,90,70,100,110,90,130,4.9,4.5,5.5,0.0,0.918,210,0,O13,,
105,25,1200,kVs,G,3,2Cw,30,60,75.0,60.0,90.0,22,10,60,38,60,40,80,110,90,130,3.6,3.2,4.0,0.0,0.232,160,0,O16,,
105,25,1200,kVs,G,4,2Cu,60,120,90.0,70.0,95.0,8,4,20,22,30,12,50,130,100,150,3.2,3.0,4.0,0.0,0.215,160,0,O16,,
106,49,1255,zVz,G,1,1Ap,0,25,2.0,0.5,3.0,3,1,5,52,55,30,70,80,70,100,7.4,7.1,7.8,5.0,1.117688968,430,1,B4,,
106,49,1255,zVz,G,2,2Cw,25,40,70.0,40.0,85.0,8,6,20,22,30,10,40,140,110,160,5.1,4.7,5.5,0.0,0.238,130,0,O17,,
106,49,1255,zVz,G,3,2Cu,40,75,75.0,40.0,85.0,8,6,20,22,30,10,40,140,110,160,5.1,4.7,5.5,0.0,0.232,130,0,O17,,
106,49,1255,zVz,G,4,3Cu,75,120,1.0,0.1,5.0,2,1,4,8,10,5,20,160,140,180,5.1,4.7,5.5,0.0,1.635,410,0,O2,,
107,56,1281,Vs,G,1,1Ahg,0,10,65.0,50.0,70.0,40,20,60,35,75,40,90,110,80,130,5.0,4.5,5.3,0.0,0.471,110,1,B18,,
107,56,1281,Vs,G,2,1Cw,10,40,80.0,50.0,90.0,40,20,60,35,75,40,90,110,80,130,4.4,4.0,5.0,0.0,0.226,160,0,O16,,
107,56,1281,Vs,G,3,1Cu,40,120,87.0,60.0,95.0,22,10,60,38,60,40,80,110,90,130,3.6,3.2,4.0,0.0,0.219,160,0,O16,,
108,72,1310,Vz,G,1,1Ah,0,12,40.0,20.0,60.0,10,4,20,10,20,10,35,135,120,160,4.8,4.2,5.0,0.0,0.462,110,1,B16,,
108,72,1310,Vz,G,2,1Cw,12,35,70.0,60.0,90.0,10,6,30,10,20,10,35,125,110,140,4.7,4.2,5.0,0.0,0.238,130,0,O17,,
108,72,1310,Vz,G,3,1Cu,35,85,85.0,60.0,90.0,10,6,30,10,20,10,35,125,110,140,4.7,4.2,5.0,0.0,0.221,130,0,O17,,
108,72,1310,Vz,G,4,2Cu,85,120,0.5,0.1,5.0,3,1,4,9,12,6,20,160,140,180,4.7,4.2,5.2,0.0,1.655,410,0,O2,,
109,33,1340,iVz,A,1,1Aap,0,20,15.0,5.0,30.0,4,2,8,11,15,8,20,145,130,160,4.9,4.5,5.1,0.0,0.64,692,1,B15,,
109,33,1340,iVz,A,2,1Cw,20,45,85.0,60.0,90.0,4,2,6,4,8,4,10,140,130,170,4.0,3.6,4.9,0.0,0.221,130,0,O17,,
109,33,1340,iVz,A,3,1Cu,45,70,82.0,60.0,90.0,4,2,6,4,8,4,10,140,130,170,4.0,3.2,4.9,0.0,0.224,130,0,O17,,
109,33,1340,iVz,A,4,2Ahb,70,85,8.0,5.0,15.0,6,4,15,24,30,10,45,130,110,180,4.7,4.2,5.2,0.0,1.234,410,0,O3,,
109,33,1340,iVz,A,5,2Cu,85,120,0.4,0.1,6.0,3,1,4,7,10,6,20,130,110,180,4.7,4.2,5.2,0.0,1.639,410,0,O2,,
110,51,1350,iVp,A,1,1Aap,0,20,15.0,5.0,30.0,3,2,6,9,12,8,20,145,130,180,4.6,4.0,5.0,0.0,0.64,692,1,B15,,
110,51,1350,iVp,A,2,1Cw,20,55,93.0,70.0,98.0,4,2,6,4,8,4,10,140,130,170,3.4,3.2,4.5,0.0,0.167,150,0,O16,,
110,51,1350,iVp,A,3,2Ahb,55,70,5.0,4.0,15.0,5,3,10,9,14,6,25,135,110,180,4.7,4.2,5.2,0.0,1.376,410,0,O2,,
110,51,1350,iVp,A,4,2Bhb,70,90,8.0,3.0,15.0,3,2,6,5,8,6,20,140,110,180,4.7,4.2,5.2,0.0,1.346,410,0,O1 ,,
110,51,1350,iVp,A,5,2Cu,90,120,0.4,0.1,3.0,3,2,6,5,8,6,20,140,110,180,4.7,4.2,5.2,0.0,1.658,410,0,O1 ,,
201,51,2080,Wo,G,1,1Apg,0,20,30.0,20.0,40.0,45,25,50,43,88,70,95,110,90,140,5.6,5.0,6.0,0.1,0.599,210,1,B17,,
201,51,2080,Wo,G,2,1Cwg,20,30,60.0,30.0,70.0,45,25,50,43,88,70,95,110,90,140,5.6,5.0,6.0,0.1,0.251,110,0,O18,,
201,51,2080,Wo,G,3,2Cg,30,70,3.0,1.0,10.0,46,25,55,49,95,70,100,110,90,140,6.2,5.0,7.0,0.3,1.214,210,0,O12,,
201,51,2080,Wo,G,4,2Cri,70,120,2.0,1.0,10.0,38,25,55,57,95,70,100,110,90,140,7.0,5.0,7.2,1.1,1.291,210,0,O12,,
202,51,2010,kWp,G,1,1Apg,0,8,12.0,5.0,20.0,20,15,40,25,45,40,65,155,130,180,5.0,4.8,6.0,0.0,0.976,210,1,B9,,
202,51,2010,kWp,G,2,1Apg,8,15,8.0,5.0,20.0,20,15,40,25,45,40,65,155,130,180,5.0,4.8,6.0,0.0,1.174,210,1,B9,,
202,51,2010,kWp,G,3,1Cwg,15,30,3.0,2.0,10.0,26,15,45,34,60,40,80,155,130,180,5.2,4.8,6.0,0.0,1.343,210,0,O11,,
